iter	MultiClass
0	1.098590551
1	1.098572987
2	1.098551629
3	1.098531464
4	1.098510973
5	1.098491025
6	1.098470426
7	1.098450586
8	1.098429336
9	1.098410472
10	1.098389439
11	1.098369816
12	1.098349434
13	1.098330569
14	1.098308886
15	1.098289588
16	1.098269314
17	1.098248173
18	1.098228659
19	1.09820806
20	1.098188545
21	1.098167295
22	1.098147997
23	1.098126531
24	1.098107016
25	1.098087284
26	1.098067011
27	1.098047279
28	1.098027222
29	1.098007165
30	1.097985807
31	1.097966184
32	1.097946561
33	1.097926612
34	1.097906121
35	1.097885956
36	1.09786655
37	1.097845842
38	1.097825568
39	1.097805295
40	1.097784587
41	1.097764964
42	1.097745124
43	1.097724525
44	1.097705227
45	1.097685062
46	1.097664896
47	1.097644622
48	1.097624457
49	1.097603858
50	1.097582717
51	1.097562985
52	1.097543254
53	1.097523088
54	1.097503357
55	1.097482649
56	1.097463243
57	1.097443186
58	1.097422804
59	1.097403289
60	1.097382473
61	1.097362741
62	1.097343118
63	1.097322627
64	1.097303004
65	1.097283706
66	1.097263107
67	1.097242725
68	1.097222885
69	1.097203587
70	1.09718353
71	1.097162714
72	1.097143199
73	1.097123142
74	1.097104495
75	1.097083028
76	1.097063405
77	1.097042914
78	1.097023291
79	1.09700356
80	1.096982202
81	1.096963012
82	1.09694328
83	1.096922898
84	1.096903492
85	1.096882784
86	1.09686251
87	1.096842779
88	1.096823264
89	1.096803207
90	1.096782716
91	1.096762768
92	1.096742711
93	1.096723305
94	1.096703573
95	1.096683191
96	1.096663893
97	1.096643727
98	1.09662302
99	1.096604156
100	1.096584207
101	1.096563174
102	1.096544202
103	1.096524253
104	1.096504521
105	1.096484139
106	1.096464733
107	1.096444459
108	1.096423643
109	1.096404345
110	1.096384722
111	1.096365207
112	1.096344608
113	1.096325744
114	1.096305578
115	1.096285738
116	1.096265248
117	1.09624595
118	1.096225459
119	1.096205185
120	1.096186429
121	1.09616518
122	1.096145448
123	1.096125933
124	1.096106744
125	1.096086145
126	1.096066196
127	1.096047007
128	1.096026733
129	1.096007109
130	1.095986619
131	1.095966454
132	1.095946939
133	1.095927207
134	1.095906933
135	1.095886985
136	1.095866603
137	1.09584828
138	1.095827681
139	1.095808275
140	1.095787893
141	1.095769028
142	1.095748104
143	1.095729023
144	1.095708749
145	1.095689343
146	1.095669936
147	1.09565053
148	1.095630798
149	1.095610416
150	1.095591985
151	1.095571278
152	1.095551546
153	1.095532573
154	1.095511215
155	1.095492026
156	1.095472077
157	1.095452346
158	1.095431963
159	1.095413533
160	1.095392608
161	1.095373961
162	1.09535282
163	1.095333955
164	1.095314332
165	1.095294709
166	1.09527476
167	1.095255246
168	1.095235622
169	1.095216107
170	1.095196484
171	1.095176753
172	1.095155937
173	1.095136422
174	1.095116799
175	1.095097501
176	1.095078528
177	1.09505782
178	1.095039064
179	1.095018357
180	1.094999276
181	1.094979653
182	1.094960246
183	1.094940406
184	1.094920132
185	1.094900834
186	1.094879585
187	1.094860829
188	1.094840989
189	1.094821474
190	1.094801634
191	1.09478342
192	1.094762712
193	1.094743414
194	1.094723466
195	1.09470471
196	1.094684653
197	1.09466568
198	1.094645081
199	1.094625892
200	1.094607027
201	1.094587187
202	1.094567564
203	1.094547507
204	1.094527558
205	1.094509019
206	1.094488637
207	1.094469448
208	1.094449499
209	1.094430201
210	1.094410686
211	1.094391171
212	1.094371873
213	1.094352033
214	1.094332627
215	1.094312787
216	1.094292838
217	1.094273649
218	1.094253917
219	1.094234944
220	1.094214562
221	1.094195481
222	1.0941764
223	1.094156559
224	1.094136611
225	1.094116446
226	1.094096605
227	1.094077307
228	1.094058551
229	1.094038169
230	1.094018654
231	1.093999248
232	1.093979842
233	1.093960977
234	1.093941246
235	1.093921839
236	1.093902541
237	1.093882918
238	1.093862861
239	1.093844322
240	1.093823723
241	1.093804642
242	1.093785777
243	1.093766154
244	1.093746531
245	1.093727341
246	1.093708585
247	1.093687986
248	1.093669122
249	1.093649499
250	1.093630959
251	1.09360971
252	1.093591279
253	1.093571873
254	1.093552792
255	1.093533277
256	1.093513111
257	1.093494572
258	1.093474515
259	1.093455543
260	1.093436028
261	1.093416947
262	1.093396348
263	1.093377483
264	1.093357751
265	1.09333867
266	1.093318939
267	1.093300291
268	1.093280451
269	1.093260719
270	1.093241747
271	1.093221364
272	1.093202934
273	1.09318266
274	1.093164121
275	1.093144389
276	1.093124549
277	1.093106552
278	1.093086929
279	1.093067522
280	1.093048224
281	1.093028709
282	1.09300952
283	1.092990981
284	1.092970598
285	1.092951734
286	1.092932328
287	1.092913138
288	1.092892756
289	1.092874217
290	1.092855352
291	1.092835187
292	1.092815997
293	1.092796808
294	1.092777185
295	1.092758212
296	1.092737938
297	1.092718532
298	1.092699559
299	1.092679719
300	1.092660638
301	1.09264134
302	1.092621608
303	1.092602635
304	1.092583879
305	1.092564906
306	1.092545608
307	1.092525443
308	1.092506579
309	1.092487823
310	1.092468633
311	1.092449769
312	1.09242982
313	1.092410414
314	1.092391116
315	1.092372468
316	1.092353062
317	1.092333547
318	1.092314574
319	1.092296577
320	1.092276303
321	1.092257005
322	1.092237924
323	1.09221765
324	1.092199003
325	1.092179705
326	1.092159865
327	1.092140892
328	1.092121919
329	1.092102296
330	1.092083106
331	1.092063375
332	1.09204386
333	1.092024779
334	1.092005914
335	1.091986183
336	1.09196786
337	1.091947695
338	1.091929156
339	1.091910942
340	1.091891319
341	1.091872454
342	1.09185294
343	1.091833533
344	1.091814777
345	1.091795804
346	1.091775747
347	1.091756992
348	1.091738344
349	1.091718179
350	1.091699097
351	1.091680342
352	1.091660176
353	1.091641312
354	1.091622231
355	1.091603366
356	1.091583743
357	1.091565421
358	1.091545797
359	1.091526608
360	1.091508177
361	1.091488445
362	1.09146969
363	1.091449849
364	1.091431852
365	1.091412012
366	1.091393256
367	1.091373742
368	1.091354335
369	1.091335904
370	1.091316932
371	1.091298718
372	1.091278878
373	1.091259688
374	1.091239306
375	1.091221092
376	1.091200276
377	1.091182279
378	1.091162764
379	1.091144117
380	1.091124493
381	1.091106388
382	1.09108644
383	1.091068768
384	1.091049578
385	1.09103028
386	1.091010115
387	1.090991576
388	1.090972494
389	1.090953413
390	1.090934766
391	1.09091601
392	1.09089682
393	1.090878498
394	1.090859634
395	1.090840336
396	1.090821363
397	1.090801956
398	1.090782875
399	1.090764444
400	1.090745038
401	1.09072574
402	1.090706984
403	1.090687903
404	1.090668713
405	1.090650499
406	1.090631743
407	1.090612771
408	1.09059369
409	1.090574066
410	1.090555527
411	1.090536121
412	1.090517798
413	1.090498826
414	1.090479744
415	1.090460446
416	1.090441582
417	1.090422501
418	1.090404612
419	1.090385206
420	1.090366016
421	1.090346718
422	1.09032883
423	1.09030964
424	1.090290667
425	1.090271694
426	1.090251746
427	1.090233098
428	1.090213367
429	1.090195153
430	1.090176831
431	1.090157316
432	1.090138777
433	1.090119695
434	1.090101373
435	1.090082184
436	1.090063644
437	1.090044672
438	1.09002559
439	1.090007485
440	1.089987862
441	1.08997019
442	1.089950567
443	1.089930943
444	1.08991273
445	1.089893865
446	1.089874784
447	1.089855594
448	1.089837055
449	1.089817866
450	1.089799652
451	1.089780462
452	1.089761489
453	1.089743492
454	1.089723978
455	1.089705222
456	1.089687225
457	1.08966771
458	1.089649496
459	1.089629981
460	1.089611442
461	1.089592578
462	1.089574581
463	1.089554524
464	1.089537069
465	1.089517012
466	1.089499015
467	1.089479825
468	1.089460961
469	1.089441446
470	1.08942269
471	1.089404801
472	1.089385178
473	1.089366205
474	1.089347775
475	1.089330103
476	1.089310913
477	1.089292483
478	1.089272534
479	1.089254212
480	1.089235456
481	1.089217567
482	1.08919751
483	1.089179622
484	1.089160649
485	1.089142543
486	1.089123462
487	1.089104164
488	1.089085408
489	1.08906752
490	1.089048764
491	1.089029466
492	1.089011035
493	1.088992821
494	1.088973848
495	1.088954876
496	1.088937095
497	1.088917906
498	1.088899475
499	1.08887996
500	1.088861855
501	1.08884299
502	1.088824018
503	1.088805479
504	1.088787807
505	1.088769484
506	1.088750186
507	1.088731539
508	1.088712349
509	1.088694135
510	1.088675488
511	1.088656298
512	1.088639385
513	1.088618028
514	1.088600356
515	1.088581491
516	1.08856241
517	1.088543763
518	1.088525332
519	1.088506684
520	1.088487495
521	1.088469389
522	1.088450308
523	1.088432094
524	1.088413013
525	1.088394908
526	1.088375176
527	1.088357179
528	1.088338423
529	1.088319776
530	1.08830102
531	1.088282697
532	1.088263508
533	1.088245728
534	1.08822708
535	1.088207782
536	1.088190002
537	1.088171029
538	1.088153791
539	1.088133734
540	1.088116171
541	1.088097848
542	1.088077791
543	1.088059361
544	1.088040605
545	1.088021957
546	1.088004069
547	1.087984771
548	1.087967207
549	1.087948993
550	1.087930346
551	1.087911373
552	1.087892617
553	1.087873861
554	1.087854888
555	1.087836349
556	1.087818135
557	1.087800138
558	1.087781166
559	1.087762843
560	1.087744087
561	1.087726199
562	1.087707009
563	1.087688579
564	1.087670148
565	1.087651934
566	1.087633612
567	1.087614639
568	1.087595666
569	1.087577886
570	1.087559889
571	1.087541133
572	1.087522052
573	1.087503296
574	1.087485516
575	1.087466868
576	1.087448112
577	1.087429356
578	1.087411468
579	1.087393362
580	1.08737504
581	1.087355959
582	1.087338179
583	1.087320181
584	1.087301317
585	1.08728267
586	1.087265323
587	1.087245808
588	1.087228353
589	1.087210031
590	1.087191275
591	1.087173278
592	1.087154088
593	1.087136742
594	1.087118203
595	1.087099664
596	1.087081775
597	1.087062911
598	1.087044914
599	1.087026266
600	1.087007835
601	1.086989838
602	1.086970432
603	1.086951351
604	1.086933354
605	1.086914489
606	1.086896276
607	1.086877845
608	1.086860281
609	1.086842176
610	1.086823312
611	1.086804881
612	1.086786559
613	1.086768128
614	1.086749589
615	1.0867317
616	1.086713161
617	1.086694514
618	1.086675649
619	1.086658736
620	1.08663998
621	1.086621983
622	1.086603119
623	1.086585556
624	1.086567667
625	1.086548586
626	1.086531023
627	1.086512483
628	1.086494378
629	1.086476164
630	1.086458059
631	1.086438761
632	1.086421197
633	1.086402767
634	1.086383902
635	1.086367098
636	1.0863478
637	1.086329586
638	1.086312348
639	1.086294134
640	1.086275703
641	1.086256947
642	1.086239059
643	1.08622117
644	1.086202739
645	1.0861842
646	1.086166637
647	1.086148206
648	1.086130534
649	1.086111995
650	1.086093565
651	1.086075784
652	1.086057896
653	1.086039465
654	1.086020709
655	1.086002712
656	1.085985257
657	1.085966393
658	1.085947854
659	1.085929423
660	1.085912185
661	1.085893537
662	1.085874239
663	1.085856676
664	1.085837812
665	1.085821332
666	1.085802468
667	1.085783821
668	1.08576539
669	1.08574761
670	1.085728962
671	1.08571129
672	1.085692534
673	1.085674104
674	1.085655673
675	1.085637676
676	1.085619896
677	1.085601248
678	1.085583576
679	1.085565796
680	1.085546607
681	1.085529043
682	1.085511372
683	1.085493049
684	1.085474619
685	1.085455971
686	1.085439058
687	1.085420844
688	1.085402847
689	1.085384742
690	1.085366528
691	1.085348531
692	1.085330968
693	1.085311886
694	1.085294215
695	1.085275242
696	1.085257895
697	1.085238923
698	1.08522201
699	1.08520282
700	1.085185148
701	1.08516726
702	1.085149154
703	1.085131482
704	1.08511316
705	1.085095055
706	1.085076841
707	1.085059928
708	1.085041822
709	1.085023175
710	1.085005395
711	1.084987398
712	1.084969618
713	1.084951729
714	1.084933515
715	1.084915518
716	1.084896871
717	1.084879199
718	1.08486131
719	1.084843313
720	1.084825316
721	1.084807319
722	1.084789972
723	1.084771108
724	1.084753436
725	1.084734897
726	1.084716683
727	1.084699228
728	1.084681015
729	1.084662584
730	1.084645779
731	1.084628216
732	1.084609569
733	1.084591355
734	1.0845739
735	1.084555794
736	1.084537147
737	1.084519583
738	1.084502779
739	1.084483589
740	1.084466568
741	1.084448029
742	1.084430032
743	1.084412143
744	1.084394905
745	1.084376583
746	1.084359345
747	1.084340589
748	1.0843227
749	1.084305028
750	1.084286706
751	1.084269143
752	1.084250929
753	1.084233366
754	1.084215152
755	1.084197155
756	1.084180133
757	1.084162028
758	1.084143814
759	1.084126142
760	1.08410847
761	1.08409004
762	1.08407226
763	1.084054154
764	1.084036049
765	1.084018052
766	1.084000488
767	1.0839826
768	1.083964819
769	1.083947473
770	1.083928934
771	1.083911045
772	1.08389359
773	1.083875593
774	1.083857488
775	1.083840141
776	1.083821385
777	1.083804798
778	1.083786909
779	1.083768587
780	1.083750481
781	1.083732376
782	1.083715029
783	1.083697358
