iter	Passed	Remaining
0	5	594404
1	11	565479
2	16	561069
3	22	559171
4	27	557745
5	33	555060
6	38	552211
7	44	550706
8	49	551572
9	55	551661
10	60	551365
11	65	549750
12	71	549509
13	76	549339
14	82	551696
15	88	551166
16	93	551712
17	99	551654
18	104	551546
19	110	552165
20	115	551816
21	121	551269
22	126	551495
23	132	550837
24	137	550337
25	142	549712
26	147	545281
27	151	541003
28	155	537216
29	160	534118
30	164	531060
31	169	528183
32	173	525917
33	177	523304
34	182	520776
35	186	518457
36	191	516102
37	195	514444
38	199	512342
39	204	510637
40	208	508886
41	213	507263
42	217	505960
43	222	505401
44	227	505441
45	232	504881
46	236	503303
47	240	501762
48	245	500558
49	249	499211
50	254	498616
51	258	497675
52	263	496723
53	267	495587
54	272	494357
55	276	493554
56	280	492581
57	285	491456
58	289	490546
59	293	489258
60	298	488592
61	302	487818
62	306	486971
63	311	486217
64	315	485544
65	320	484770
66	324	483960
67	328	483265
68	333	482608
69	337	481894
70	341	481324
71	346	480595
72	350	479893
73	354	479281
74	359	478610
75	363	477945
76	367	477382
77	372	476872
78	376	476337
79	380	475807
80	385	475351
81	389	474759
82	394	474412
83	398	473979
84	402	473460
85	407	473775
86	412	473437
87	416	473014
88	421	473166
89	426	473882
90	431	473924
91	436	473532
92	440	473153
93	444	472767
94	449	472347
95	453	471937
96	457	471538
97	462	471144
98	466	470750
99	470	470387
100	475	470037
101	479	469705
102	483	469363
103	488	469034
104	492	469011
105	497	468679
106	501	468576
107	506	468684
108	511	468329
109	515	468444
110	520	468762
111	525	468553
112	530	468622
113	535	468798
114	539	468613
115	544	469057
116	549	469090
117	553	468758
118	558	468785
119	576	480163
120	582	480991
121	596	488234
122	601	488210
123	606	488548
124	614	490973
125	620	491476
126	625	491710
127	629	491465
128	634	491189
129	638	490839
130	643	490547
131	647	490187
132	652	489804
133	656	489400
134	661	489419
135	666	489276
136	670	488827
137	675	488461
138	679	488089
139	683	487686
140	687	487254
141	692	486882
142	696	486525
143	701	486196
144	705	485858
145	709	485519
146	714	485164
147	718	484828
148	723	485003
149	728	484995
150	733	485182
151	738	485285
152	743	485393
153	748	485430
154	753	485564
155	758	485292
156	762	484933
157	766	484622
158	771	484275
159	775	483976
160	779	483684
161	784	483374
162	788	483035
163	793	482752
164	797	482404
165	801	482107
166	806	481830
167	810	481570
168	814	481326
169	819	481167
170	824	481390
171	829	481278
172	834	481541
173	839	481683
174	844	481831
175	848	481529
176	853	481355
177	857	481105
178	862	480847
179	866	480596
180	871	480355
181	875	480151
182	879	479925
183	884	479612
184	888	479357
185	892	479148
186	897	478958
187	901	478741
